Name,Full Name,Match Type,Batting Average,Batting Strike Rate,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
Asghar Stanikzai,Asghar Stanikzai,ODI,21.5,62.3,45.5,67.0,4.07
Asghar Stanikzai,Asghar Stanikzai,T20,0,0,0,0,0
V Shankar,Vijay Shankar,ODI,31.9,90.7,52.5,58.2,5.41
V Shankar,Vijay Shankar,T20,30.9,133.9,73.5,42.0,10.50
Liton Das,Liton Das,ODI,24.9,89.5,0,0,0
Liton Das,Liton Das,T20,16.7,116.6,0,0,0
JM Vince,James Vince,ODI,26.5,88.6,0,0,0
JM Vince,James Vince,T20,33.0,138.8,27.0,24.0,6.75
Rubel Hossain,Rubel Hossain,ODI,5.2,56.2,34.2,36.0,5.70
Rubel Hossain,Rubel Hossain,T20,2.5,64.5,22.0,16.3,8.11
Sabbir Rahman,Sabbir Rahman,ODI,26.1,91.4,115.0,102.0,6.76
Sabbir Rahman,Sabbir Rahman,T20,23.1,121.6,21.7,16.0,8.12
WIA Fernando,Weerahandige Inol Avishka Fernando,ODI,29.8,96.3,0,0,0
WIA Fernando,Weerahandige Inol Avishka Fernando,T20,0,0,0,0,0
Mohammed Shami,Mohammed Shami,ODI,9.0,89.4,23.6,25.7,5.51
Mohammed Shami,Mohammed Shami,T20,6.1,114.0,37.6,25.1,9.00
Samiullah Shenwari,Samiullah Shenwari,ODI,28.4,64.9,36.1,44.2,4.90
Samiullah Shenwari,Samiullah Shenwari,T20,0,0,0,0,0
NM Lyon,Nathan Lyon,ODI,19.2,92.8,45.9,55.8,4.93
NM Lyon,Nathan Lyon,T20,4.9,81.0,20.1,17.3,6.98
FA Allen,Fabian Anthony Allen,ODI,12.7,88.1,90.0,90.0,6.00
FA Allen,Fabian Anthony Allen,T20,38.9,181.4,47.9,37.4,7.67
SW Ambris,Sunil Ambris,ODI,70.4,101.7,0,0,0
SW Ambris,Sunil Ambris,T20,26.0,80.0,0,0,0
IS Sodhi,Ish Sodhi,ODI,6.1,76.1,36.7,39.7,5.54
IS Sodhi,Ish Sodhi,T20,7.5,96.0,20.4,15.1,8.09
HM Nicholls,Henry Nicholls,ODI,35.0,82.4,0,0,0
HM Nicholls,Henry Nicholls,T20,38.0,122.6,0,0,0
RR Pant,Rishabh Pant,ODI,22.9,96.6,0,0,0
RR Pant,Rishabh Pant,T20,36.2,162.7,0,0,0
CAK Rajitha,Kasun Rajitha,ODI,0.0,0.0,42.1,39.2,6.44
CAK Rajitha,Kasun Rajitha,T20,0,0,0,0,0
JDF Vandersay,Jeffrey Vandersay,ODI,11.8,42.8,43.6,44.6,5.87
JDF Vandersay,Jeffrey Vandersay,T20,0,0,0,0,0
KD Karthik,Dinesh Karthik,ODI,28.0,73.6,0,0,0
KD Karthik,Dinesh Karthik,T20,27.7,130.0,0,0,0
TG Southee,Tim Southee,ODI,14.1,98.5,34.7,38.2,5.46
TG Southee,Tim Southee,T20,16.9,148.4,33.5,23.7,8.47
Sayed Shirzad,Sayed Shirzad,ODI,25.0,147.1,56.0,48.0,7.00
Sayed Shirzad,Sayed Shirzad,T20,0,0,0,0,0
RA Jadeja,Ravindra Jadeja,ODI,31.8,85.6,35.8,44.1,4.87
RA Jadeja,Ravindra Jadeja,T20,23.9,124.6,30.1,23.4,7.74
PSP Handscomb,Peter Handscomb,ODI,33.3,97.4,0,0,0
PSP Handscomb,Peter Handscomb,T20,23.3,117.3,0,0,0
JL Denly,Joe Denly,ODI,30.0,67.1,60.0,66.0,5.45
JL Denly,Joe Denly,T20,29.9,130.3,20.2,15.5,7.80
TK Curran,Thomas Kevin Curran,ODI,35.6,107.2,29.8,28.2,6.34
TK Curran,Thomas Kevin Curran,T20,19.8,130.5,23.5,16.5,8.53
Junaid Khan,Junaid Khan,ODI,5.0,55.1,29.5,33.0,5.36
Junaid Khan,Junaid Khan,T20,2.4,44.8,20.4,16.2,7.52
Mohammad Hasnain,Mohammad Hasnain,ODI,14.0,155.6,60.6,49.2,7.39
Mohammad Hasnain,Mohammad Hasnain,T20,0.0,0.0,20.3,14.7,8.32
DJ Willey,David Willey,ODI,17.4,82.3,35.6,37.2,5.75
DJ Willey,David Willey,T20,27.2,146.9,24.2,18.6,7.81
Abid Ali,Abid Ali,ODI,47.8,97.4,0,0,0
Abid Ali,Abid Ali,T20,0,0,0,0,0
WTS Porterfield,William Porterfield,ODI,29.1,69.3,0,0,0
WTS Porterfield,William Porterfield,T20,29.5,124.1,0,0,0
PR Stirling,Paul Stirling,ODI,37.4,87.1,45.4,57.0,4.78
PR Stirling,Paul Stirling,T20,25.3,149.8,31.3,22.0,8.55
A Balbirnie,Andrew Balbirnie,ODI,31.2,75.4,34.0,30.0,6.80
A Balbirnie,Andrew Balbirnie,T20,6.6,93.9,0,0,0
L Tucker,Lorcan Tucker,ODI,0,0,0,0,0
L Tucker,Lorcan Tucker,T20,0,0,0,0,0
KJ O'Brien,Kevin O'Brien,ODI,30.1,87.4,32.3,37.1,5.22
KJ O'Brien,Kevin O'Brien,T20,21.7,128.8,22.0,17.2,7.67
GC Wilson,Gary Wilson,ODI,23.5,71.9,0,0,0
GC Wilson,Gary Wilson,T20,23.4,119.3,0,0,0
GH Dockrell,George Dockrell,ODI,16.4,69.0,37.4,47.5,4.72
GH Dockrell,George Dockrell,T20,0,0,54.0,32.8,9.88
MR Adair,Mark Adair,ODI,19.3,116.0,33.9,32.3,6.31
MR Adair,Mark Adair,T20,3.7,78.6,17.2,15.6,6.62
TJ Murtagh,Tim Murtagh,ODI,7.8,63.1,30.9,40.8,4.55
TJ Murtagh,Tim Murtagh,T20,0,0,98.0,48.0,12.25
WB Rankin,Boyd Rankin,ODI,8.6,44.6,27.9,34.5,4.84
WB Rankin,Boyd Rankin,T20,6.3,82.6,25.7,18.3,8.44
J Little,Joshua Little,ODI,0,0,0,0,0
J Little,Joshua Little,T20,0,0,0,0,0
DJ Malan,Dawid Malan,ODI,24.0,80.0,0,0,0
DJ Malan,Dawid Malan,T20,30.3,128.0,45.7,34.5,7.94
BT Foakes,Ben Foakes,ODI,0,80.3,0,0,0
BT Foakes,Ben Foakes,T20,21.6,128.7,0,0,0
Abu Jayed,Abu Jayed,ODI,0,0,22.8,21.6,6.33
Abu Jayed,Abu Jayed,T20,11.0,104.8,20.5,15.5,7.95
JA McCollum,James McCollum,ODI,20.6,68.8,0,0,0
JA McCollum,James McCollum,T20,0,0,0,0,0
BJ McCarthy,Barry McCarthy,ODI,7.9,54.7,26.6,27.2,5.87
BJ McCarthy,Barry McCarthy,T20,3.3,71.4,21.2,14.6,8.67
AR McBrine,Andy McBrine,ODI,15.2,72.8,35.5,48.6,4.38
AR McBrine,Andy McBrine,T20,0,0,0,0,0
H Masakadza,Hamilton Masakadza,ODI,28.6,73.3,44.8,50.5,5.33
H Masakadza,Hamilton Masakadza,T20,12.9,115.4,0,0,0
TS Kamunhukamwe,Tinashe Kamunhukamwe,ODI,12.3,74.0,0,0,0
TS Kamunhukamwe,Tinashe Kamunhukamwe,T20,0,0,0,0,0
CR Ervine,Craig Ervine,ODI,32.9,75.5,0,0,0
CR Ervine,Craig Ervine,T20,0,0,0,0,0
